timestamp,node_id,node_type,live_inventory,production_capacity,planned_capacity,production_ratio,growth_status,mortality_rate,outgoing_orders,feed_stock,expected_daily_feed,feed_days_remaining,disease_alert,disrupted
2026-01-01 06:00,farm_1,farm,781.0,742.0,800,0.928,normal,0.0223,483.0,453.0,80,5.7,0,0
2026-01-01 15:00,farm_1,farm,766.0,774.0,800,0.968,normal,0.0238,468.0,472.0,80,5.9,0,0
2026-01-02 00:00,farm_1,farm,747.0,781.0,800,0.976,normal,0.0195,456.0,489.0,80,6.1,0,0
2026-01-02 09:00,farm_1,farm,721.0,745.0,800,0.931,normal,0.0283,489.0,499.0,80,6.2,0,0
2026-01-02 18:00,farm_1,farm,689.0,777.0,800,0.971,normal,0.019,471.0,441.0,80,5.5,0,0
2026-01-03 03:00,farm_1,farm,676.0,767.0,800,0.959,normal,0.0184,459.0,466.0,80,5.8,0,0
2026-01-03 12:00,farm_1,farm,629.0,775.0,800,0.969,normal,0.0255,473.0,462.0,80,5.8,0,0
2026-01-03 21:00,farm_1,farm,614.0,794.0,800,0.992,normal,0.0244,466.0,457.0,80,5.7,0,0
2026-01-04 06:00,farm_1,farm,591.0,756.0,800,0.945,normal,0.0239,515.0,524.0,80,6.6,0,0
2026-01-04 15:00,farm_1,farm,569.0,746.0,800,0.932,normal,0.0239,501.0,486.0,80,6.1,0,0
2026-01-05 00:00,farm_1,farm,545.0,744.0,800,0.93,normal,0.022,485.0,440.0,80,5.5,0,0
2026-01-05 09:00,farm_1,farm,787.0,745.0,800,0.931,normal,0.0193,512.0,501.0,80,6.3,0,0
2026-01-05 18:00,farm_1,farm,755.0,759.0,800,0.949,normal,0.0222,486.0,534.0,80,6.7,0,0
2026-01-06 03:00,farm_1,farm,763.0,766.0,800,0.958,normal,0.02,469.0,504.0,80,6.3,0,0
2026-01-06 12:00,farm_1,farm,725.0,765.0,800,0.956,normal,0.0249,512.0,432.0,80,5.4,0,0
2026-01-06 21:00,farm_1,farm,686.0,775.0,800,0.969,normal,0.0216,495.0,461.0,80,5.8,0,0
2026-01-07 06:00,farm_1,farm,687.0,760.0,800,0.95,normal,0.0195,466.0,510.0,80,6.4,0,0
2026-01-07 15:00,farm_1,farm,643.0,786.0,800,0.982,normal,0.021,482.0,455.0,80,5.7,0,0
2026-01-08 00:00,farm_1,farm,630.0,755.0,800,0.944,normal,0.0232,469.0,487.0,80,6.1,0,0
2026-01-08 09:00,farm_1,farm,590.0,800.0,800,1.0,normal,0.0203,460.0,497.0,80,6.2,0,0
2026-01-08 18:00,farm_1,farm,587.0,771.0,800,0.964,normal,0.0195,502.0,449.0,80,5.6,0,0
2026-01-09 03:00,farm_1,farm,557.0,745.0,800,0.931,normal,0.0227,519.0,473.0,80,5.9,0,0
2026-01-09 12:00,farm_1,farm,797.0,741.0,800,0.926,normal,0.0227,460.0,384.0,80,4.8,0,0
2026-01-09 21:00,farm_1,farm,785.0,769.0,800,0.961,normal,0.0205,495.0,446.0,80,5.6,0,0
2026-01-10 06:00,farm_1,farm,755.0,756.0,800,0.945,normal,0.0206,473.0,468.0,80,5.8,0,0
2026-01-10 15:00,farm_1,farm,737.0,773.0,800,0.966,normal,0.0227,476.0,440.0,80,5.5,0,0
2026-01-11 00:00,farm_1,farm,683.0,769.0,800,0.961,normal,0.0177,474.0,521.0,80,6.5,0,0
2026-01-11 09:00,farm_1,farm,676.0,759.0,800,0.949,normal,0.0178,469.0,435.0,80,5.4,0,0
2026-01-11 18:00,farm_1,farm,655.0,745.0,800,0.931,normal,0.0198,486.0,463.0,80,5.8,0,0
2026-01-12 03:00,farm_1,farm,594.0,733.0,800,0.916,normal,0.0214,470.0,479.0,80,6.0,0,0
2026-01-12 12:00,farm_1,farm,575.0,752.0,800,0.94,normal,0.0229,490.0,515.0,80,6.4,0,0
2026-01-12 21:00,farm_1,farm,538.0,775.0,800,0.969,normal,0.0264,484.0,435.0,80,5.4,0,0
2026-01-13 06:00,farm_1,farm,533.0,764.0,800,0.955,normal,0.0246,481.0,508.0,80,6.4,0,0
2026-01-13 15:00,farm_1,farm,809.0,738.0,800,0.922,normal,0.0215,469.0,475.0,80,5.9,0,0
2026-01-14 00:00,farm_1,farm,792.0,763.0,800,0.954,normal,0.0219,475.0,448.0,80,5.6,0,0
2026-01-14 09:00,farm_1,farm,748.0,767.0,800,0.959,normal,0.019,499.0,488.0,80,6.1,0,0
2026-01-14 18:00,farm_1,farm,740.0,744.0,800,0.93,normal,0.0219,494.0,481.0,80,6.0,0,0
2026-01-15 03:00,farm_1,farm,678.0,763.0,800,0.954,normal,0.0211,467.0,458.0,80,5.7,0,0
2026-01-15 12:00,farm_1,farm,648.0,761.0,800,0.951,normal,0.023,487.0,477.0,80,6.0,0,0
2026-01-15 21:00,farm_1,farm,641.0,739.0,800,0.924,normal,0.0195,499.0,464.0,80,5.8,0,0
2026-01-16 06:00,farm_1,farm,620.0,766.0,800,0.958,normal,0.0236,455.0,478.0,80,6.0,0,0
2026-01-16 15:00,farm_1,farm,589.0,770.0,800,0.962,normal,0.0266,495.0,494.0,80,6.2,0,0
2026-01-17 00:00,farm_1,farm,538.0,779.0,800,0.974,normal,0.0217,473.0,519.0,80,6.5,0,0
2026-01-17 09:00,farm_1,farm,535.0,779.0,800,0.974,normal,0.0232,495.0,440.0,80,5.5,0,0
2026-01-17 18:00,farm_1,farm,784.0,735.0,800,0.919,normal,0.0241,471.0,535.0,80,6.7,0,0
2026-01-18 03:00,farm_1,farm,782.0,743.0,800,0.929,normal,0.0208,453.0,420.0,80,5.2,0,0
2026-01-18 12:00,farm_1,farm,752.0,769.0,800,0.961,normal,0.0227,456.0,471.0,80,5.9,0,0
2026-01-18 21:00,farm_1,farm,710.0,769.0,800,0.961,normal,0.022,486.0,491.0,80,6.1,0,0
2026-01-19 06:00,farm_1,farm,688.0,769.0,800,0.961,normal,0.0223,490.0,483.0,80,6.0,0,0
2026-01-19 15:00,farm_1,farm,655.0,800.0,800,1.0,normal,0.0197,469.0,458.0,80,5.7,0,0
2026-01-20 00:00,farm_1,farm,641.0,770.0,800,0.962,normal,0.0221,496.0,469.0,80,5.9,0,0
2026-01-20 09:00,farm_1,farm,627.0,780.0,800,0.975,normal,0.0235,455.0,461.0,80,5.8,0,0
2026-01-20 18:00,farm_1,farm,577.0,777.0,800,0.971,normal,0.0264,484.0,458.0,80,5.7,0,0
2026-01-21 03:00,farm_1,farm,569.0,772.0,800,0.965,normal,0.0249,463.0,499.0,80,6.2,0,0
2026-01-21 12:00,farm_1,farm,530.0,754.0,800,0.942,normal,0.0285,473.0,485.0,80,6.1,0,0
2026-01-21 21:00,farm_1,farm,790.0,774.0,800,0.968,normal,0.0197,486.0,456.0,80,5.7,0,0
2026-01-22 06:00,farm_1,farm,772.0,746.0,800,0.932,normal,0.0246,470.0,500.0,80,6.2,0,0
2026-01-22 15:00,farm_1,farm,735.0,756.0,800,0.945,normal,0.0226,478.0,484.0,80,6.0,0,0
2026-01-23 00:00,farm_1,farm,714.0,751.0,800,0.939,normal,0.0286,503.0,498.0,80,6.2,0,0
2026-01-23 09:00,farm_1,farm,680.0,761.0,800,0.951,normal,0.0196,475.0,493.0,80,6.2,0,0
2026-01-23 18:00,farm_1,farm,692.0,800.0,800,1.0,normal,0.0195,500.0,452.0,80,5.6,0,0
2026-01-24 03:00,farm_1,farm,642.0,726.0,800,0.908,normal,0.0202,465.0,459.0,80,5.7,0,0
2026-01-24 12:00,farm_1,farm,607.0,772.0,800,0.965,normal,0.0156,495.0,496.0,80,6.2,0,0
2026-01-24 21:00,farm_1,farm,592.0,731.0,800,0.914,normal,0.0204,511.0,492.0,80,6.2,0,0
2026-01-25 06:00,farm_1,farm,561.0,752.0,800,0.94,normal,0.0197,441.0,474.0,80,5.9,0,0
2026-01-25 15:00,farm_1,farm,534.0,780.0,800,0.975,normal,0.0225,471.0,478.0,80,6.0,0,0
2026-01-26 00:00,farm_1,farm,807.0,761.0,800,0.951,normal,0.023,495.0,511.0,80,6.4,0,0
2026-01-26 09:00,farm_1,farm,783.0,741.0,800,0.926,normal,0.0276,481.0,458.0,80,5.7,0,0
2026-01-26 18:00,farm_1,farm,741.0,747.0,800,0.934,normal,0.0249,492.0,490.0,80,6.1,0,0
2026-01-27 03:00,farm_1,farm,714.0,772.0,800,0.965,normal,0.0203,474.0,469.0,80,5.9,0,0
2026-01-27 12:00,farm_1,farm,691.0,747.0,800,0.934,normal,0.0193,487.0,469.0,80,5.9,0,0
2026-01-27 21:00,farm_1,farm,641.0,764.0,800,0.955,normal,0.0235,482.0,506.0,80,6.3,0,0
2026-01-28 06:00,farm_1,farm,624.0,761.0,800,0.951,normal,0.018,506.0,498.0,80,6.2,0,0
