timestamp,node_id,node_type,input_inventory,processing_capacity,max_capacity,capacity_ratio,queue_length,processing_delay,output_stock,max_output,output_ratio,equipment_status,hygiene_compliance,worker_availability,disrupted
2026-01-01 06:00,slaughterhouse_1,slaughterhouse,425.0,500.0,500,1.0,45.0,0.62,331.0,400,0.828,operational,1.0,0.894,0
2026-01-01 09:00,slaughterhouse_1,slaughterhouse,365.0,500.0,500,1.0,43.0,0.44,299.0,400,0.748,operational,0.983,0.915,0
2026-01-01 12:00,slaughterhouse_1,slaughterhouse,408.0,500.0,500,1.0,50.0,0.22,312.0,400,0.78,operational,0.971,0.89,0
2026-01-01 15:00,slaughterhouse_1,slaughterhouse,377.0,493.0,500,0.986,53.0,0.01,300.0,400,0.75,operational,0.941,0.908,0
2026-01-01 18:00,slaughterhouse_1,slaughterhouse,373.0,409.0,500,0.818,37.0,0.18,234.0,400,0.585,operational,0.966,0.848,0
2026-01-01 21:00,slaughterhouse_1,slaughterhouse,403.0,384.0,500,0.768,32.0,0.58,236.0,400,0.59,operational,0.955,0.928,0
2026-01-02 00:00,slaughterhouse_1,slaughterhouse,396.0,358.0,500,0.716,27.0,0.81,246.0,400,0.615,operational,1.0,0.92,0
2026-01-02 03:00,slaughterhouse_1,slaughterhouse,334.0,374.0,500,0.748,49.0,0.71,234.0,400,0.585,operational,0.967,0.889,0
2026-01-02 06:00,slaughterhouse_1,slaughterhouse,419.0,463.0,500,0.926,34.0,0.14,338.0,400,0.845,operational,0.972,0.945,0
2026-01-02 09:00,slaughterhouse_1,slaughterhouse,417.0,493.0,500,0.986,25.0,0.0,290.0,400,0.725,operational,0.98,0.956,0
2026-01-02 12:00,slaughterhouse_1,slaughterhouse,360.0,500.0,500,1.0,47.0,0.32,306.0,400,0.765,operational,0.971,0.859,0
2026-01-02 15:00,slaughterhouse_1,slaughterhouse,389.0,500.0,500,1.0,66.0,0.0,300.0,400,0.75,operational,1.0,0.891,0
2026-01-02 18:00,slaughterhouse_1,slaughterhouse,392.0,395.0,500,0.79,44.0,0.37,267.0,400,0.668,operational,0.959,0.891,0
2026-01-02 21:00,slaughterhouse_1,slaughterhouse,385.0,387.0,500,0.774,52.0,0.24,245.0,400,0.612,operational,0.974,0.884,0
2026-01-03 00:00,slaughterhouse_1,slaughterhouse,363.0,403.0,500,0.806,45.0,0.15,260.0,400,0.65,operational,0.957,0.952,0
2026-01-03 03:00,slaughterhouse_1,slaughterhouse,359.0,356.0,500,0.712,43.0,0.0,216.0,400,0.54,operational,0.946,0.913,0
2026-01-03 06:00,slaughterhouse_1,slaughterhouse,377.0,500.0,500,1.0,52.0,0.42,316.0,400,0.79,operational,0.959,0.91,0
2026-01-03 09:00,slaughterhouse_1,slaughterhouse,411.0,500.0,500,1.0,41.0,0.13,330.0,400,0.825,operational,0.969,0.844,0
2026-01-03 12:00,slaughterhouse_1,slaughterhouse,393.0,470.0,500,0.94,46.0,0.0,312.0,400,0.78,operational,0.962,0.944,0
2026-01-03 15:00,slaughterhouse_1,slaughterhouse,368.0,500.0,500,1.0,47.0,0.0,333.0,400,0.832,operational,0.958,0.873,0
2026-01-03 18:00,slaughterhouse_1,slaughterhouse,400.0,395.0,500,0.79,38.0,0.27,233.0,400,0.582,operational,0.945,0.922,0
2026-01-03 21:00,slaughterhouse_1,slaughterhouse,298.0,384.0,500,0.768,53.0,0.78,266.0,400,0.665,operational,0.969,0.931,0
2026-01-04 00:00,slaughterhouse_1,slaughterhouse,410.0,400.0,500,0.8,42.0,0.75,281.0,400,0.702,operational,0.943,0.972,0
2026-01-04 03:00,slaughterhouse_1,slaughterhouse,329.0,425.0,500,0.85,37.0,0.15,236.0,400,0.59,operational,0.984,0.87,0
2026-01-04 06:00,slaughterhouse_1,slaughterhouse,368.0,500.0,500,1.0,49.0,0.11,300.0,400,0.75,operational,0.971,0.805,0
2026-01-04 09:00,slaughterhouse_1,slaughterhouse,347.0,500.0,500,1.0,36.0,0.41,342.0,400,0.855,operational,0.944,0.927,0
2026-01-04 12:00,slaughterhouse_1,slaughterhouse,342.0,491.0,500,0.982,44.0,0.0,345.0,400,0.862,operational,0.964,0.988,0
2026-01-04 15:00,slaughterhouse_1,slaughterhouse,411.0,483.0,500,0.966,44.0,0.36,298.0,400,0.745,operational,0.956,0.967,0
