timestamp,node_id,node_type,live_inventory,production_capacity,planned_capacity,growth_status,mortality_rate,outgoing_orders,feed_stock,expected_daily_feed,disease_alert,production_ratio,feed_days_remaining,disrupted
2026-01-01 06:00,farm_1,farm,798.0,742.0,800,normal,0.0223,456.0,453.0,80,0,0.928,5.7,0
2026-01-01 15:00,farm_1,farm,762.0,774.0,800,normal,0.0238,474.0,472.0,80,0,0.968,5.9,0
2026-01-02 00:00,farm_1,farm,728.0,781.0,800,normal,0.0195,485.0,489.0,80,0,0.976,6.1,0
2026-01-02 09:00,farm_1,farm,723.0,745.0,800,normal,0.0283,486.0,499.0,80,0,0.931,6.2,0
2026-01-02 18:00,farm_1,farm,685.0,777.0,800,normal,0.019,477.0,441.0,80,0,0.971,5.5,0
2026-01-03 03:00,farm_1,farm,651.0,767.0,800,normal,0.0184,496.0,466.0,80,0,0.959,5.8,0
2026-01-03 12:00,farm_1,farm,634.0,775.0,800,normal,0.0255,466.0,462.0,80,0,0.969,5.8,0
2026-01-03 21:00,farm_1,farm,602.0,794.0,800,normal,0.0244,482.0,457.0,80,0,0.992,5.7,0
2026-01-04 06:00,farm_1,farm,609.0,756.0,800,normal,0.0239,487.0,524.0,80,0,0.945,6.6,0
2026-01-04 15:00,farm_1,farm,573.0,746.0,800,normal,0.0239,494.0,486.0,80,0,0.932,6.1,0
2026-01-05 00:00,farm_1,farm,536.0,744.0,800,normal,0.022,498.0,440.0,80,0,0.93,5.5,0
2026-01-05 09:00,farm_1,farm,818.0,745.0,800,normal,0.0193,465.0,501.0,80,0,0.931,6.3,0
2026-01-05 18:00,farm_1,farm,775.0,759.0,800,normal,0.0222,457.0,534.0,80,0,0.949,6.7,0
2026-01-06 03:00,farm_1,farm,737.0,766.0,800,normal,0.02,508.0,504.0,80,0,0.958,6.3,0
2026-01-06 12:00,farm_1,farm,739.0,765.0,800,normal,0.0249,491.0,432.0,80,0,0.956,5.4,0
2026-01-06 21:00,farm_1,farm,701.0,775.0,800,normal,0.0216,472.0,461.0,80,0,0.969,5.8,0
