scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,condition
1,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.008,0.863,C2_cot
2,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,30.0,38.542,9.0,26.5,22,0.0,0.875,59.92,9,33.33,66.67,0.0,0.007,0.895,C2_cot
3,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.958,18.0,75.0,13,0.0,0.85,57.08,9,28.57,71.43,0.0,0.008,0.902,C2_cot
4,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,35.764,18.75,39.0,1,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.008,0.85,C2_cot
5,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,31.51,9.0,57.75,3,0.0,0.9062,58.29,6,36.36,63.64,0.0,0.007,0.893,C2_cot
6,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,53.646,9.0,8.25,7,0.0,0.8125,60.29,4,25.0,75.0,0.0,0.008,0.863,C2_cot
8,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,25.0,9.0,58.75,12,0.0,0.9062,59.08,13,30.43,69.57,0.0,0.008,0.916,C2_cot
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,39.0,1,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.007,0.85,C2_cot
10,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,30.0,32.639,9.0,36.75,11,0.0,0.875,60.87,8,33.33,66.67,0.0,0.007,0.886,C2_cot
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.74,9.0,64.0,8,0.0,0.9062,58.51,13,30.43,69.57,0.0,0.008,0.916,C2_cot
12,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,30.0,66.146,9.0,7.5,4,0.0,0.8125,57.51,7,20.0,80.0,0.0,0.008,0.865,C2_cot
13,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.604,15.75,55.5,11,0.0,0.8359,59.08,7,27.27,72.73,0.0,0.008,0.89,C2_cot
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.604,15.75,55.5,11,0.0,0.8359,59.08,7,27.27,72.73,0.0,0.008,0.89,C2_cot
15,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,24.74,9.0,59.5,12,0.0,0.9062,58.62,13,30.43,69.57,0.0,0.008,0.916,C2_cot
16,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
17,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.008,0.869,C2_cot
18,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.958,18.0,75.0,13,0.0,0.85,57.08,9,28.57,71.43,0.0,0.008,0.902,C2_cot
19,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.479,9.0,63.5,9,0.0,0.9062,58.34,13,30.43,69.57,0.0,0.008,0.916,C2_cot
20,AVIAN_INFLUENZA,AI_MEDIUM_SLAUGHTERHOUSE,medium,slaughterhouse,2,30.0,30.208,9.0,40.25,5,0.0,0.875,61.93,9,28.57,71.43,0.0,0.008,0.899,C2_cot
21,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,44.097,9.0,26.75,15,0.0,0.875,57.51,5,14.29,85.71,0.0,0.007,0.843,C2_cot
22,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,35.764,18.75,39.0,1,0.0,0.7396,60.29,4,20.0,80.0,0.0,0.007,0.85,C2_cot
23,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,44.097,9.0,26.75,15,0.0,0.875,57.51,5,14.29,85.71,0.0,0.007,0.843,C2_cot
24,AVIAN_INFLUENZA,EMBARGO_CRITICAL,crisis,supplier,4,30.0,23.958,9.0,77.25,3,0.0,0.925,59.16,8,28.57,71.43,0.0,0.008,0.899,C2_cot
25,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.583,18.75,74.0,13,0.0,0.8438,55.99,9,27.27,72.73,0.0,0.008,0.89,C2_cot
26,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,2,30.0,26.823,9.0,58.75,4,0.0,0.9062,60.29,6,36.36,63.64,0.0,0.009,0.893,C2_cot
27,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.583,18.75,74.0,13,0.0,0.8438,56.07,9,27.27,72.73,0.0,0.011,0.888,C2_cot
28,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,3,30.0,26.823,18.75,58.25,5,0.0,0.8047,60.29,6,25.0,75.0,0.0,0.012,0.869,C2_cot
29,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,5,30.0,24.375,18.75,74.0,13,0.0,0.8438,55.94,9,27.27,72.73,0.0,0.012,0.89,C2_cot
30,AVIAN_INFLUENZA,EMBARGO_MODERATE,medium,supplier,2,30.0,44.097,9.0,26.75,15,0.0,0.875,57.51,5,14.29,85.71,0.0,0.012,0.843,C2_cot
