scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor,condition
1,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.016,0.844,C3_tot
2,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,30.0,38.194,9.0,26.75,22,0.0,0.875,59.45,9,0.0,100.0,0.0,0.015,0.8,C3_tot
3,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,30.0,23.542,17.25,75.25,13,0.0,0.8562,57.18,9,42.86,57.14,0.0,0.014,0.879,C3_tot
4,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,30.0,34.375,18.0,39.75,2,0.0,0.75,60.32,4,0.0,100.0,0.0,0.015,0.78,C3_tot
5,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,30.0,29.948,9.0,58.0,3,0.0,0.9062,58.56,6,27.27,72.73,0.0,0.014,0.845,C3_tot
6,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.014,0.812,C3_tot
7,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,1,30.0,51.562,9.0,7.75,5,0.0,0.8125,60.32,4,25.0,75.0,0.0,0.015,0.844,C3_tot
8,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,24.74,9.0,58.75,12,0.0,0.9062,59.73,13,43.48,56.52,0.0,0.011,0.88,C3_tot
9,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,2,30.0,34.375,18.0,39.75,2,0.0,0.75,60.32,4,0.0,100.0,0.0,0.008,0.78,C3_tot
10,AVIAN_INFLUENZA,AI_HIGH_RETAIL,high,retail,2,30.0,32.292,9.0,37.25,11,0.0,0.875,60.42,8,0.0,100.0,0.0,0.008,0.8,C3_tot
11,AVIAN_INFLUENZA,AI_HIGH_WHOLESALER,high,wholesaler,3,30.0,24.479,9.0,64.0,8,0.0,0.9062,59.14,13,43.48,56.52,0.0,0.009,0.88,C3_tot
12,AVIAN_INFLUENZA,EMBARGO_MILD,low,supplier,1,30.0,62.5,9.0,7.5,5,0.0,0.8125,57.46,7,20.0,80.0,0.0,0.01,0.825,C3_tot
13,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.083,15.0,56.0,12,0.0,0.8438,59.46,7,18.18,81.82,0.0,0.01,0.832,C3_tot
14,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,4,30.0,27.083,15.0,56.0,12,0.0,0.8438,59.46,7,18.18,81.82,0.0,0.011,0.832,C3_tot
15,AVIAN_INFLUENZA,AI_HIGH_SLAUGHTERHOUSE,high,slaughterhouse,3,30.0,24.479,9.0,59.5,12,0.0,0.9062,59.25,13,43.48,56.52,0.0,0.01,0.88,C3_tot
16,AVIAN_INFLUENZA,H5N1_SPREADING,high,farm,3,30.0,25.781,18.0,59.25,6,0.0,0.8125,60.32,6,12.5,87.5,0.0,0.01,0.812,C3_tot
