tick,timestamp,node_id,node_type,disrupted,mode,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id
0,2026-01-15 06:00,supplier_1,supplier,0,reactive,911.01,,,,,,,,,,,,,8
0,2026-01-15 06:00,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
0,2026-01-15 06:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,277.31,,,,,,,,,8
0,2026-01-15 06:00,wholesaler_1,wholesaler,0,reactive,,,,,,91.01,10.2,,,,,,,8
0,2026-01-15 06:00,retail_1,retail,0,reactive,,,,,,,,24.89,30.0,0.0,0.25,10.77,0.0,8
1,2026-01-15 06:15,supplier_1,supplier,0,reactive,909.51,,,,,,,,,,,,,8
1,2026-01-15 06:15,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
1,2026-01-15 06:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,288.52,,,,,,,,,8
1,2026-01-15 06:15,wholesaler_1,wholesaler,1,reactive,,,,,,88.37,10.2,,,,,,,8
1,2026-01-15 06:15,retail_1,retail,0,reactive,,,,,,,,22.32,30.0,0.0,0.5,10.77,0.0,8
2,2026-01-15 06:30,supplier_1,supplier,0,reactive,908.66,,,,,,,,,,,,,8
2,2026-01-15 06:30,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
2,2026-01-15 06:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,298.64,,,,,,,,,8
2,2026-01-15 06:30,wholesaler_1,wholesaler,1,reactive,,,,,,75.29,10.2,,,,,,,8
2,2026-01-15 06:30,retail_1,retail,0,reactive,,,,,,,,19.36,30.0,0.0,0.75,10.77,0.0,8
3,2026-01-15 06:45,supplier_1,supplier,0,reactive,907.6,,,,,,,,,,,,,8
3,2026-01-15 06:45,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
3,2026-01-15 06:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,310.06,,,,,,,,,8
3,2026-01-15 06:45,wholesaler_1,wholesaler,1,reactive,,,,,,72.78,10.2,,,,,,,8
3,2026-01-15 06:45,retail_1,retail,0,reactive,,,,,,,,16.74,30.0,0.0,1.0,10.77,0.0,8
4,2026-01-15 07:00,supplier_1,supplier,0,reactive,906.59,,,,,,,,,,,,,8
4,2026-01-15 07:00,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
4,2026-01-15 07:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,321.54,,,,,,,,,8
4,2026-01-15 07:00,wholesaler_1,wholesaler,1,reactive,,,,,,60.3,10.2,,,,,,,8
4,2026-01-15 07:00,retail_1,retail,0,reactive,,,,,,,,13.94,30.0,0.0,1.25,10.77,0.0,8
5,2026-01-15 07:15,supplier_1,supplier,0,reactive,906.04,,,,,,,,,,,,,8
5,2026-01-15 07:15,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
5,2026-01-15 07:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,331.51,,,,,,,,,8
5,2026-01-15 07:15,wholesaler_1,wholesaler,1,reactive,,,,,,58.53,10.2,,,,,,,8
5,2026-01-15 07:15,retail_1,retail,0,reactive,,,,,,,,10.97,30.0,0.0,1.5,10.77,0.0,8
6,2026-01-15 07:30,supplier_1,supplier,0,reactive,904.6,,,,,,,,,,,,,8
6,2026-01-15 07:30,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
6,2026-01-15 07:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,342.65,,,,,,,,,8
6,2026-01-15 07:30,wholesaler_1,wholesaler,1,reactive,,,,,,46.22,10.2,,,,,,,8
6,2026-01-15 07:30,retail_1,retail,0,reactive,,,,,,,,8.0,30.0,0.0,1.75,10.77,0.0,8
7,2026-01-15 07:45,supplier_1,supplier,0,reactive,903.69,,,,,,,,,,,,,8
7,2026-01-15 07:45,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
7,2026-01-15 07:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,353.65,,,,,,,,,8
7,2026-01-15 07:45,wholesaler_1,wholesaler,1,reactive,,,,,,43.82,10.2,,,,,,,8
7,2026-01-15 07:45,retail_1,retail,0,reactive,,,,,,,,5.49,30.0,0.0,2.0,10.77,0.0,8
8,2026-01-15 08:00,supplier_1,supplier,0,reactive,902.51,,,,,,,,,,,,,8
8,2026-01-15 08:00,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
8,2026-01-15 08:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,274.91,,,,,,,,,8
8,2026-01-15 08:00,wholesaler_1,wholesaler,1,reactive,,,,,,31.55,10.2,,,,,,,8
8,2026-01-15 08:00,retail_1,retail,1,reactive,,,,,,,,2.53,30.0,0.0,2.25,10.77,0.0,8
9,2026-01-15 08:15,supplier_1,supplier,0,reactive,901.23,,,,,,,,,,,,,8
9,2026-01-15 08:15,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
9,2026-01-15 08:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,285.0,,,,,,,,,8
9,2026-01-15 08:15,wholesaler_1,wholesaler,1,reactive,,,,,,28.68,10.2,,,,,,,8
9,2026-01-15 08:15,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,2.5,10.77,0.0,8
10,2026-01-15 08:30,supplier_1,supplier,0,reactive,900.44,,,,,,,,,,,,,8
10,2026-01-15 08:30,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
10,2026-01-15 08:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,295.68,,,,,,,,,8
10,2026-01-15 08:30,wholesaler_1,wholesaler,1,reactive,,,,,,26.8,10.2,,,,,,,8
10,2026-01-15 08:30,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,2.75,10.77,0.0,8
11,2026-01-15 08:45,supplier_1,supplier,0,reactive,899.76,,,,,,,,,,,,,8
11,2026-01-15 08:45,farm_1,farm,0,reactive,,747.0,0.0249,,,,,,,,,,,8
11,2026-01-15 08:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,306.7,,,,,,,,,8
11,2026-01-15 08:45,wholesaler_1,wholesaler,1,reactive,,,,,,24.58,10.2,,,,,,,8
11,2026-01-15 08:45,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,3.0,10.77,0.0,8
12,2026-01-15 09:00,supplier_1,supplier,0,reactive,899.12,,,,,,,,,,,,,8
12,2026-01-15 09:00,farm_1,farm,1,reactive,,747.0,0.0249,,,,,,,,,,,8
12,2026-01-15 09:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,387.0,227.4,,,,,,,,,8
12,2026-01-15 09:00,wholesaler_1,wholesaler,1,reactive,,,,,,22.27,10.2,,,,,,,8
12,2026-01-15 09:00,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,3.25,10.77,0.0,8
13,2026-01-15 09:15,supplier_1,supplier,0,reactive,898.04,,,,,,,,,,,,,8
13,2026-01-15 09:15,farm_1,farm,1,reactive,,747.0,0.0249,,,,,,,,,,,8
