tick,timestamp,node_id,node_type,disrupted,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id,mode
0,2026-03-10 06:00,supplier_1,supplier,0,940.12,,,,,,,,,,,,,35,hitl
0,2026-03-10 06:00,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
0,2026-03-10 06:00,slaughterhouse_1,slaughterhouse,0,,,,500.0,333.89,,,,,,,,,35,hitl
0,2026-03-10 06:00,wholesaler_1,wholesaler,0,,,,,,164.49,6.1,,,,,,,35,hitl
0,2026-03-10 06:00,retail_1,retail,0,,,,,,,,88.44,30.0,0.0,0.0,14.48,0.0,35,hitl
1,2026-03-10 06:15,supplier_1,supplier,0,938.79,,,,,,,,,,,,,35,hitl
1,2026-03-10 06:15,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
1,2026-03-10 06:15,slaughterhouse_1,slaughterhouse,0,,,,500.0,348.48,,,,,,,,,35,hitl
1,2026-03-10 06:15,wholesaler_1,wholesaler,0,,,,,,185.66,6.1,,,,,,,35,hitl
1,2026-03-10 06:15,retail_1,retail,0,,,,,,,,92.63,30.0,0.0,0.0,14.48,0.0,35,hitl
2,2026-03-10 06:30,supplier_1,supplier,0,938.29,,,,,,,,,,,,,35,hitl
2,2026-03-10 06:30,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
2,2026-03-10 06:30,slaughterhouse_1,slaughterhouse,0,,,,500.0,362.0,,,,,,,,,35,hitl
2,2026-03-10 06:30,wholesaler_1,wholesaler,0,,,,,,184.02,6.1,,,,,,,35,hitl
2,2026-03-10 06:30,retail_1,retail,0,,,,,,,,89.1,30.0,0.0,0.0,14.48,0.0,35,hitl
3,2026-03-10 06:45,supplier_1,supplier,0,937.79,,,,,,,,,,,,,35,hitl
3,2026-03-10 06:45,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
3,2026-03-10 06:45,slaughterhouse_1,slaughterhouse,0,,,,500.0,376.9,,,,,,,,,35,hitl
3,2026-03-10 06:45,wholesaler_1,wholesaler,0,,,,,,181.29,6.1,,,,,,,35,hitl
3,2026-03-10 06:45,retail_1,retail,0,,,,,,,,85.61,30.0,0.0,0.0,14.48,0.0,35,hitl
4,2026-03-10 07:00,supplier_1,supplier,0,936.91,,,,,,,,,,,,,35,hitl
4,2026-03-10 07:00,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
4,2026-03-10 07:00,slaughterhouse_1,slaughterhouse,0,,,,500.0,389.84,,,,,,,,,35,hitl
4,2026-03-10 07:00,wholesaler_1,wholesaler,0,,,,,,170.97,6.1,,,,,,,35,hitl
4,2026-03-10 07:00,retail_1,retail,0,,,,,,,,82.28,30.0,0.0,0.0,14.48,0.0,35,hitl
5,2026-03-10 07:15,supplier_1,supplier,0,936.12,,,,,,,,,,,,,35,hitl
5,2026-03-10 07:15,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
5,2026-03-10 07:15,slaughterhouse_1,slaughterhouse,0,,,,500.0,400.0,,,,,,,,,35,hitl
5,2026-03-10 07:15,wholesaler_1,wholesaler,0,,,,,,168.37,6.1,,,,,,,35,hitl
5,2026-03-10 07:15,retail_1,retail,0,,,,,,,,86.37,30.0,0.0,0.0,14.48,0.0,35,hitl
6,2026-03-10 07:30,supplier_1,supplier,0,934.91,,,,,,,,,,,,,35,hitl
6,2026-03-10 07:30,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
6,2026-03-10 07:30,slaughterhouse_1,slaughterhouse,0,,,,500.0,400.0,,,,,,,,,35,hitl
6,2026-03-10 07:30,wholesaler_1,wholesaler,0,,,,,,166.29,6.1,,,,,,,35,hitl
6,2026-03-10 07:30,retail_1,retail,0,,,,,,,,82.75,30.0,0.0,0.0,14.48,0.0,35,hitl
7,2026-03-10 07:45,supplier_1,supplier,0,933.65,,,,,,,,,,,,,35,hitl
7,2026-03-10 07:45,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,35,hitl
7,2026-03-10 07:45,slaughterhouse_1,slaughterhouse,0,,,,500.0,400.0,,,,,,,,,35,hitl
7,2026-03-10 07:45,wholesaler_1,wholesaler,0,,,,,,164.47,6.1,,,,,,,35,hitl
7,2026-03-10 07:45,retail_1,retail,0,,,,,,,,78.9,30.0,0.0,0.0,14.48,0.0,35,hitl
