scenario_id,disruption_type,subtype,severity,seed_node,cascade_depth,SAR_threshold_used,Stock Availability Rate (%),Time to Recovery (hours),Stockout Duration (hours),Stockout Frequency,Min Stock During Disruption,Recovery Speed Index,Mean Recovery Inventory (kg),mode,Total Coordinator Events,HitL_Accept_Rate_%,HitL_Modify_Rate_%,HitL_Override_Rate_%,HitL_Mean_HRT_hours,HitL_Modify_Factor
1,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,23.09,100.0,9.0,0.0,0,82.44,0.8125,101.97,autonomous,2.0,,,,,
1,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,23.09,23.438,3.0,24.5,23,0.0,0.9375,55.68,hitl,4.0,66.67,0.0,16.67,0.8,0.9
1,AVIAN_INFLUENZA,H5N1_LOCAL,medium,farm,1,30.0,2.083,,44.0,1,0.0,,25.9,reactive,,,,,,
2,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,20.833,3.0,35.75,25,0.0,0.9583,53.66,autonomous,10.0,,,,,
2,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,45.139,9.0,30.0,20,0.0,0.875,95.13,hitl,9.0,78.95,5.26,0.0,0.863,0.992
2,AVIAN_INFLUENZA,AI_MEDIUM_WHOLESALER,medium,wholesaler,2,23.09,11.806,,61.25,2,0.0,,46.5,reactive,,,,,,
3,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,23.09,43.958,,58.25,14,0.0,,90.18,autonomous,8.0,,,,,
3,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,23.09,12.917,3.0,87.5,26,0.0,0.975,48.62,hitl,9.0,75.0,16.67,0.0,0.69,0.982
3,AVIAN_INFLUENZA,H5N1_REGIONAL_CRISIS,crisis,farm,4,23.09,17.5,,90.25,2,0.0,,49.45,reactive,,,,,,
4,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,88.542,54.75,2.0,1,0.0,0.2396,88.32,autonomous,4.0,,,,,
4,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,21.528,7.5,47.0,12,0.0,0.8958,52.68,hitl,4.0,60.0,20.0,0.0,1.087,0.978
4,AVIAN_INFLUENZA,H9N2_LPAI,low,farm,2,23.09,23.264,,48.75,1,0.0,,53.03,reactive,,,,,,
5,AVIAN_INFLUENZA,EMBARGO_SEVERE,high,supplier,3,23.09,76.302,9.0,16.25,1,0.0,0.9062,89.79,autonomous,6.0,,,,,
