tick,timestamp,node_id,node_type,disrupted,mode,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id
0,2026-01-01 06:00,supplier_1,supplier,0,reactive,926.38,,,,,,,,,,,,,1
0,2026-01-01 06:00,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
0,2026-01-01 06:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,323.05,,,,,,,,,1
0,2026-01-01 06:00,wholesaler_1,wholesaler,0,reactive,,,,,,124.04,9.5,,,,,,,1
0,2026-01-01 06:00,retail_1,retail,0,reactive,,,,,,,,40.8,30.0,0.0,0.0,10.42,0.0,1
1,2026-01-01 06:15,supplier_1,supplier,0,reactive,925.02,,,,,,,,,,,,,1
1,2026-01-01 06:15,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
1,2026-01-01 06:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,337.02,,,,,,,,,1
1,2026-01-01 06:15,wholesaler_1,wholesaler,0,reactive,,,,,,122.5,9.5,,,,,,,1
1,2026-01-01 06:15,retail_1,retail,0,reactive,,,,,,,,38.05,30.0,0.0,0.0,10.42,0.0,1
2,2026-01-01 06:30,supplier_1,supplier,0,reactive,924.13,,,,,,,,,,,,,1
2,2026-01-01 06:30,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
2,2026-01-01 06:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,350.34,,,,,,,,,1
2,2026-01-01 06:30,wholesaler_1,wholesaler,0,reactive,,,,,,120.91,9.5,,,,,,,1
2,2026-01-01 06:30,retail_1,retail,0,reactive,,,,,,,,35.22,30.0,0.0,0.0,10.42,0.0,1
3,2026-01-01 06:45,supplier_1,supplier,0,reactive,923.41,,,,,,,,,,,,,1
3,2026-01-01 06:45,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
3,2026-01-01 06:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,363.8,,,,,,,,,1
3,2026-01-01 06:45,wholesaler_1,wholesaler,0,reactive,,,,,,119.3,9.5,,,,,,,1
3,2026-01-01 06:45,retail_1,retail,0,reactive,,,,,,,,32.4,30.0,0.0,0.0,10.42,0.0,1
4,2026-01-01 07:00,supplier_1,supplier,0,reactive,922.06,,,,,,,,,,,,,1
4,2026-01-01 07:00,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
4,2026-01-01 07:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,377.42,,,,,,,,,1
4,2026-01-01 07:00,wholesaler_1,wholesaler,0,reactive,,,,,,108.37,9.5,,,,,,,1
4,2026-01-01 07:00,retail_1,retail,0,reactive,,,,,,,,29.83,30.0,0.0,0.25,10.42,0.0,1
5,2026-01-01 07:15,supplier_1,supplier,0,reactive,920.89,,,,,,,,,,,,,1
5,2026-01-01 07:15,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
5,2026-01-01 07:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,392.19,,,,,,,,,1
5,2026-01-01 07:15,wholesaler_1,wholesaler,0,reactive,,,,,,106.42,9.5,,,,,,,1
5,2026-01-01 07:15,retail_1,retail,0,reactive,,,,,,,,27.37,30.0,0.0,0.5,10.42,0.0,1
6,2026-01-01 07:30,supplier_1,supplier,0,reactive,920.38,,,,,,,,,,,,,1
6,2026-01-01 07:30,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
6,2026-01-01 07:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
6,2026-01-01 07:30,wholesaler_1,wholesaler,0,reactive,,,,,,103.97,9.5,,,,,,,1
6,2026-01-01 07:30,retail_1,retail,0,reactive,,,,,,,,24.47,30.0,0.0,0.75,10.42,0.0,1
7,2026-01-01 07:45,supplier_1,supplier,0,reactive,918.97,,,,,,,,,,,,,1
7,2026-01-01 07:45,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
7,2026-01-01 07:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
7,2026-01-01 07:45,wholesaler_1,wholesaler,0,reactive,,,,,,102.31,9.5,,,,,,,1
7,2026-01-01 07:45,retail_1,retail,0,reactive,,,,,,,,22.06,30.0,0.0,1.0,10.42,0.0,1
8,2026-01-01 08:00,supplier_1,supplier,0,reactive,917.52,,,,,,,,,,,,,1
8,2026-01-01 08:00,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
8,2026-01-01 08:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,376.0,,,,,,,,,1
8,2026-01-01 08:00,wholesaler_1,wholesaler,0,reactive,,,,,,91.8,9.5,,,,,,,1
8,2026-01-01 08:00,retail_1,retail,0,reactive,,,,,,,,19.37,30.0,0.0,1.25,10.42,0.0,1
9,2026-01-01 08:15,supplier_1,supplier,0,reactive,916.74,,,,,,,,,,,,,1
9,2026-01-01 08:15,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
9,2026-01-01 08:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,389.22,,,,,,,,,1
9,2026-01-01 08:15,wholesaler_1,wholesaler,1,reactive,,,,,,89.69,9.5,,,,,,,1
9,2026-01-01 08:15,retail_1,retail,0,reactive,,,,,,,,16.46,30.0,0.0,1.5,10.42,0.0,1
10,2026-01-01 08:30,supplier_1,supplier,0,reactive,915.5,,,,,,,,,,,,,1
10,2026-01-01 08:30,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
10,2026-01-01 08:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
10,2026-01-01 08:30,wholesaler_1,wholesaler,1,reactive,,,,,,87.57,9.5,,,,,,,1
10,2026-01-01 08:30,retail_1,retail,0,reactive,,,,,,,,13.71,30.0,0.0,1.75,10.42,0.0,1
11,2026-01-01 08:45,supplier_1,supplier,0,reactive,914.6,,,,,,,,,,,,,1
11,2026-01-01 08:45,farm_1,farm,0,reactive,,751.0,0.0286,,,,,,,,,,,1
11,2026-01-01 08:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
11,2026-01-01 08:45,wholesaler_1,wholesaler,1,reactive,,,,,,85.16,9.5,,,,,,,1
11,2026-01-01 08:45,retail_1,retail,0,reactive,,,,,,,,11.08,30.0,0.0,2.0,10.42,0.0,1
12,2026-01-01 09:00,supplier_1,supplier,0,reactive,913.89,,,,,,,,,,,,,1
12,2026-01-01 09:00,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
12,2026-01-01 09:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
12,2026-01-01 09:00,wholesaler_1,wholesaler,1,reactive,,,,,,80.42,9.5,,,,,,,1
12,2026-01-01 09:00,retail_1,retail,1,reactive,,,,,,,,8.38,30.0,0.0,2.25,10.42,0.0,1
13,2026-01-01 09:15,supplier_1,supplier,0,reactive,913.09,,,,,,,,,,,,,1
13,2026-01-01 09:15,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
13,2026-01-01 09:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
13,2026-01-01 09:15,wholesaler_1,wholesaler,1,reactive,,,,,,78.45,9.5,,,,,,,1
13,2026-01-01 09:15,retail_1,retail,1,reactive,,,,,,,,5.94,30.0,0.0,2.5,10.42,0.0,1
14,2026-01-01 09:30,supplier_1,supplier,0,reactive,912.0,,,,,,,,,,,,,1
14,2026-01-01 09:30,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
14,2026-01-01 09:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
14,2026-01-01 09:30,wholesaler_1,wholesaler,1,reactive,,,,,,75.87,9.5,,,,,,,1
14,2026-01-01 09:30,retail_1,retail,1,reactive,,,,,,,,3.21,30.0,0.0,2.75,10.42,0.0,1
15,2026-01-01 09:45,supplier_1,supplier,0,reactive,911.4,,,,,,,,,,,,,1
15,2026-01-01 09:45,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
15,2026-01-01 09:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
15,2026-01-01 09:45,wholesaler_1,wholesaler,1,reactive,,,,,,73.02,9.5,,,,,,,1
15,2026-01-01 09:45,retail_1,retail,1,reactive,,,,,,,,0.79,30.0,0.0,3.0,10.42,0.0,1
16,2026-01-01 10:00,supplier_1,supplier,0,reactive,910.31,,,,,,,,,,,,,1
16,2026-01-01 10:00,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
16,2026-01-01 10:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,376.0,,,,,,,,,1
16,2026-01-01 10:00,wholesaler_1,wholesaler,1,reactive,,,,,,68.68,9.5,,,,,,,1
16,2026-01-01 10:00,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,3.25,10.42,0.0,1
17,2026-01-01 10:15,supplier_1,supplier,0,reactive,909.52,,,,,,,,,,,,,1
17,2026-01-01 10:15,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
17,2026-01-01 10:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,390.03,,,,,,,,,1
17,2026-01-01 10:15,wholesaler_1,wholesaler,1,reactive,,,,,,67.17,9.5,,,,,,,1
17,2026-01-01 10:15,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,3.5,10.42,0.0,1
18,2026-01-01 10:30,supplier_1,supplier,0,reactive,908.15,,,,,,,,,,,,,1
18,2026-01-01 10:30,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
18,2026-01-01 10:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
18,2026-01-01 10:30,wholesaler_1,wholesaler,1,reactive,,,,,,64.56,9.5,,,,,,,1
18,2026-01-01 10:30,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,3.75,10.42,0.0,1
19,2026-01-01 10:45,supplier_1,supplier,0,reactive,907.22,,,,,,,,,,,,,1
19,2026-01-01 10:45,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
19,2026-01-01 10:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
19,2026-01-01 10:45,wholesaler_1,wholesaler,1,reactive,,,,,,62.4,9.5,,,,,,,1
19,2026-01-01 10:45,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,4.0,10.42,0.0,1
20,2026-01-01 11:00,supplier_1,supplier,0,reactive,906.62,,,,,,,,,,,,,1
20,2026-01-01 11:00,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
20,2026-01-01 11:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
20,2026-01-01 11:00,wholesaler_1,wholesaler,1,reactive,,,,,,57.63,9.5,,,,,,,1
20,2026-01-01 11:00,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,4.25,10.42,0.0,1
21,2026-01-01 11:15,supplier_1,supplier,0,reactive,905.4,,,,,,,,,,,,,1
21,2026-01-01 11:15,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
21,2026-01-01 11:15,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
21,2026-01-01 11:15,wholesaler_1,wholesaler,1,reactive,,,,,,55.81,9.5,,,,,,,1
21,2026-01-01 11:15,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,4.5,10.42,0.0,1
22,2026-01-01 11:30,supplier_1,supplier,0,reactive,904.35,,,,,,,,,,,,,1
22,2026-01-01 11:30,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
22,2026-01-01 11:30,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
22,2026-01-01 11:30,wholesaler_1,wholesaler,1,reactive,,,,,,53.07,9.5,,,,,,,1
22,2026-01-01 11:30,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,4.75,10.42,0.0,1
23,2026-01-01 11:45,supplier_1,supplier,0,reactive,903.25,,,,,,,,,,,,,1
23,2026-01-01 11:45,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
23,2026-01-01 11:45,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,400.0,,,,,,,,,1
23,2026-01-01 11:45,wholesaler_1,wholesaler,1,reactive,,,,,,50.84,9.5,,,,,,,1
23,2026-01-01 11:45,retail_1,retail,1,reactive,,,,,,,,0.0,30.0,1.0,5.0,10.42,0.0,1
24,2026-01-01 12:00,supplier_1,supplier,0,reactive,902.11,,,,,,,,,,,,,1
24,2026-01-01 12:00,farm_1,farm,1,reactive,,751.0,0.0286,,,,,,,,,,,1
24,2026-01-01 12:00,slaughterhouse_1,slaughterhouse,0,reactive,,,,500.0,376.0,,,,,,,,,1
