tick,timestamp,node_id,node_type,disrupted,available_supply,production_capacity,mortality_rate,processing_capacity,output_stock,inventory_level,pending_shipments,retail_inventory,safety_stock,stockout_flag,shortage_duration,sales_rate,reorder_request,scenario_id,mode
0,2026-01-01 06:00,supplier_1,supplier,0,886.67,,,,,,,,,,,,,1,hitl
0,2026-01-01 06:00,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,1,hitl
0,2026-01-01 06:00,slaughterhouse_1,slaughterhouse,0,,,,398.0,260.48,,,,,,,,,1,hitl
0,2026-01-01 06:00,wholesaler_1,wholesaler,0,,,,,,156.16,7.4,,,,,,,1,hitl
0,2026-01-01 06:00,retail_1,retail,0,,,,,,,,88.8,30.0,0.0,0.0,14.48,0.0,1,hitl
1,2026-01-01 06:15,supplier_1,supplier,0,885.56,,,,,,,,,,,,,1,hitl
1,2026-01-01 06:15,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,1,hitl
1,2026-01-01 06:15,slaughterhouse_1,slaughterhouse,0,,,,398.0,271.36,,,,,,,,,1,hitl
1,2026-01-01 06:15,wholesaler_1,wholesaler,0,,,,,,177.9,7.4,,,,,,,1,hitl
1,2026-01-01 06:15,retail_1,retail,0,,,,,,,,93.0,30.0,0.0,0.0,14.48,0.0,1,hitl
2,2026-01-01 06:30,supplier_1,supplier,0,884.1,,,,,,,,,,,,,1,hitl
2,2026-01-01 06:30,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,1,hitl
2,2026-01-01 06:30,slaughterhouse_1,slaughterhouse,0,,,,398.0,282.27,,,,,,,,,1,hitl
2,2026-01-01 06:30,wholesaler_1,wholesaler,0,,,,,,176.23,7.4,,,,,,,1,hitl
2,2026-01-01 06:30,retail_1,retail,0,,,,,,,,89.63,30.0,0.0,0.0,14.48,0.0,1,hitl
3,2026-01-01 06:45,supplier_1,supplier,0,882.64,,,,,,,,,,,,,1,hitl
3,2026-01-01 06:45,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,1,hitl
3,2026-01-01 06:45,slaughterhouse_1,slaughterhouse,0,,,,398.0,294.0,,,,,,,,,1,hitl
3,2026-01-01 06:45,wholesaler_1,wholesaler,0,,,,,,173.76,7.4,,,,,,,1,hitl
3,2026-01-01 06:45,retail_1,retail,0,,,,,,,,86.26,30.0,0.0,0.0,14.48,0.0,1,hitl
4,2026-01-01 07:00,supplier_1,supplier,0,881.5,,,,,,,,,,,,,1,hitl
4,2026-01-01 07:00,farm_1,farm,0,,746.0,0.0239,,,,,,,,,,,1,hitl
4,2026-01-01 07:00,slaughterhouse_1,slaughterhouse,0,,,,398.0,304.97,,,,,,,,,1,hitl
4,2026-01-01 07:00,wholesaler_1,wholesaler,0,,,,,,162.95,7.4,,,,,,,1,hitl
4,2026-01-01 07:00,retail_1,retail,0,,,,,,,,82.85,30.0,0.0,0.0,14.48,0.0,1,hitl
5,2026-01-01 07:15,supplier_1,supplier,0,880.34,,,,,,,,,,,,,1,hitl
